ticker,PMI,CPI,UNEMPLOYMENT,Spread,Commodity_Index,Libor,Interest_Rates,Philly_Fed
2015-01-01,54.6,0.8,5.6,212.557,492.11,0.17125,0.25,21.7
2015-01-02,54.6,0.8,5.6,209.025,491.95,0.1675,0.25,21.7
2015-01-05,54.6,0.8,5.6,201.675,492.46,0.168,0.25,21.7
2015-01-06,54.6,0.8,5.6,190.975,490.21,0.16775,0.25,21.7
2015-01-07,54.6,0.8,5.6,193.728,490.59,0.1665,0.25,21.7
2015-01-08,54.6,0.8,5.6,199.761,490.24,0.16625,0.25,21.7
2015-01-09,54.6,0.8,5.6,192.553,490.27,0.16675,0.25,21.7
2015-01-12,54.6,0.8,5.6,188.668,488.84,0.1665,0.25,21.7
2015-01-13,54.6,0.8,5.6,186.957,488.31,0.1665,0.25,21.7
2015-01-14,54.6,0.8,5.6,181.979,483.75,0.16825,0.25,21.7
2015-01-15,54.6,0.8,5.6,168.36,484.08,0.168,0.25,21.7
2015-01-16,54.6,0.8,5.6,181.652,483.08,0.168,0.25,21.7
2015-01-19,54.6,0.8,5.6,181.652,483.08,0.16875,0.25,21.7
2015-01-20,54.6,0.8,5.6,177.196,482.19,0.1685,0.25,21.7
2015-01-21,54.6,0.8,5.6,184.64,482.67,0.16675,0.25,21.7
2015-01-22,54.6,0.8,5.6,184.278,482.7,0.16825,0.25,21.7
2015-01-23,54.6,0.8,5.6,177.654,482.35,0.16775,0.25,21.7
2015-01-26,54.6,0.8,5.6,181.478,483.03,0.169,0.25,21.7
2015-01-27,54.6,0.8,5.6,180.282,482.22,0.168,0.25,21.7
2015-01-28,54.6,0.8,5.6,170.045,482.37,0.1705,0.25,21.7
2015-01-29,54.6,0.8,5.6,174.103,480.44,0.1709,0.25,21.7
2015-01-30,54.6,0.8,5.6,163.649,480.84,0.17125,0.25,21.7
2015-02-02,54.1,-0.1,5.7,165.404,481.08,0.1695,0.25,13.4
2015-02-03,54.1,-0.1,5.7,177.123,483.12,0.171,0.25,13.4
2015-02-04,54.1,-0.1,5.7,174.028,483.22,0.1735,0.25,13.4
2015-02-05,54.1,-0.1,5.7,180.52,483.36,0.171,0.25,13.4
2015-02-06,54.1,-0.1,5.7,193.727,482.94,0.1715,0.25,13.4
2015-02-09,54.1,-0.1,5.7,196.651,483.3,0.1722,0.25,13.4
2015-02-10,54.1,-0.1,5.7,198.653,469.76,0.1717,0.25,13.4
2015-02-11,54.1,-0.1,5.7,200.748,468.68,0.1717,0.25,13.4
2015-02-12,54.1,-0.1,5.7,197.093,469.64,0.172,0.25,13.4
2015-02-13,54.1,-0.1,5.7,204.023,471.0,0.173,0.25,13.4
2015-02-16,54.1,-0.1,5.7,204.023,471.0,0.173,0.25,13.4
2015-02-17,54.1,-0.1,5.7,212.264,471.22,0.1735,0.25,13.4
2015-02-18,54.1,-0.1,5.7,205.977,471.84,0.1735,0.25,13.4
2015-02-19,54.1,-0.1,5.7,209.393,471.89,0.1735,0.25,13.4
2015-02-20,54.1,-0.1,5.7,209.137,471.07,0.1715,0.25,13.4
2015-02-23,54.1,-0.1,5.7,203.714,470.52,0.171,0.25,13.4
2015-02-24,54.1,-0.1,5.7,196.482,473.35,0.1715,0.25,13.4
2015-02-25,54.1,-0.1,5.7,194.762,472.67,0.172,0.25,13.4
2015-02-26,54.1,-0.1,5.7,200.926,473.12,0.1719,0.25,13.4
2015-02-27,54.1,-0.1,5.7,197.78,472.3,0.173,0.25,13.4
2015-03-02,53.0,0.0,5.5,206.68,471.56,0.1727,0.25,9.9
2015-03-03,53.0,0.0,5.5,210.371,471.89,0.173,0.25,9.9
2015-03-04,53.0,0.0,5.5,210.197,471.86,0.175,0.25,9.9
2015-03-05,53.0,0.0,5.5,210.531,471.56,0.175,0.25,9.9
2015-03-06,53.0,0.0,5.5,223.124,470.97,0.175,0.25,9.9
2015-03-09,53.0,0.0,5.5,218.058,470.18,0.1765,0.25,9.9
2015-03-10,53.0,0.0,5.5,211.536,468.32,0.1779,0.25,9.9
2015-03-11,53.0,0.0,5.5,208.828,467.64,0.176,0.25,9.9
2015-03-12,53.0,0.0,5.5,209.029,468.42,0.1745,0.25,9.9
2015-03-13,53.0,0.0,5.5,208.949,467.95,0.1765,0.25,9.9
2015-03-16,53.0,0.0,5.5,203.623,467.77,0.177,0.25,9.9
2015-03-17,53.0,0.0,5.5,199.996,467.61,0.1775,0.25,9.9
2015-03-18,53.0,0.0,5.5,188.445,467.41,0.176,0.25,9.9
2015-03-19,53.0,0.0,5.5,195.84,468.48,0.17325,0.25,9.9
2015-03-20,53.0,0.0,5.5,192.519,469.87,0.174,0.25,9.9
2015-03-23,53.0,0.0,5.5,190.61,472.17,0.17375,0.25,9.9
2015-03-24,53.0,0.0,5.5,185.281,472.67,0.17275,0.25,9.9
2015-03-25,53.0,0.0,5.5,189.037,472.19,0.1756,0.25,9.9
2015-03-26,53.0,0.0,5.5,195.393,472.25,0.17775,0.25,9.9
2015-03-27,53.0,0.0,5.5,192.09,471.93,0.178,0.25,9.9
2015-03-30,53.0,0.0,5.5,192.723,470.96,0.17925,0.25,9.9
2015-03-31,51.8,-0.1,5.4,189.778,469.67,0.17625,0.25,7.4
2015-04-01,51.8,-0.1,5.4,183.699,468.52,0.17755,0.25,7.4
2015-04-02,51.8,-0.1,5.4,189.144,467.52,0.17975,0.25,7.4
2015-04-03,51.8,-0.1,5.4,182.373,467.52,0.17975,0.25,7.4
2015-04-06,51.8,-0.1,5.4,188.506,468.63,0.17975,0.25,7.4
2015-04-07,51.8,-0.1,5.4,186.448,470.97,0.18015,0.25,7.4
2015-04-08,51.8,-0.1,5.4,187.428,470.17,0.18095,0.25,7.4
2015-04-09,51.8,-0.1,5.4,193.424,469.96,0.18,0.25,7.4
2015-04-10,51.8,-0.1,5.4,192.704,468.72,0.1785,0.25,7.4
2015-04-13,51.8,-0.1,5.4,191.201,468.9,0.1815,0.25,7.4
2015-04-14,51.8,-0.1,5.4,187.817,466.08,0.1825,0.25,7.4
2015-04-15,51.8,-0.1,5.4,187.278,464.97,0.1804,0.25,7.4
2015-04-16,51.8,-0.1,5.4,186.942,464.87,0.18055,0.25,7.4
2015-04-17,51.8,-0.1,5.4,184.499,464.11,0.18025,0.25,7.4
2015-04-20,51.8,-0.1,5.4,187.437,464.22,0.1805,0.25,7.4
2015-04-21,51.8,-0.1,5.4,188.338,463.83,0.1815,0.25,7.4
2015-04-22,51.8,-0.1,5.4,195.341,463.81,0.18175,0.25,7.4
2015-04-23,51.8,-0.1,5.4,193.233,465.7,0.18125,0.25,7.4
2015-04-24,51.8,-0.1,5.4,188.326,467.71,0.1815,0.25,7.4
2015-04-27,51.8,-0.1,5.4,190.562,468.98,0.18125,0.25,7.4
