date,BB_COMPOSITE,RTG_COMPOSITE_CHANGE,RTG_SP,RTG_SP_CHANGE,RTG_FITCH,RTG_FITCH_CHANGE,RTG_MOODY,RTG_MOODY_CHANGE,TOT_DEBT_TO_TOT_EQY,CUR_RATIO,IS_EPS,RETURN_ON_ASSET,RETURN_COM_EQY,EBITDA_TO_REVENUE,ISSUE_DT,MATURITY,CALLABLE,NORMALIZED_PAYMENT_RANK,CPN_TYP,CPN_FREQ,PX_LAST
2016-06-23,BB,0.0,BB+,0.0,,0.0,Ba2,0.0,78.04795391002287,1.8885400313971743,6.36,7.6145261730069675,21.20717781402936,41.50139321422718,2016-05-23,2021-06-01,N,Sr Unsecured,FIXED,2,101.75
2016-06-24,BB,0.0,BB+,0.0,,0.0,Ba2,0.0,78.04795391002287,1.8885400313971743,6.36,7.6145261730069675,21.20717781402936,41.50139321422718,2016-05-23,2021-06-01,N,Sr Unsecured,FIXED,2,102.426
2016-06-27,BB,0.0,BB+,0.0,,0.0,Ba2,0.0,78.04795391002287,1.8885400313971743,6.36,7.6145261730069675,21.20717781402936,41.50139321422718,2016-05-23,2021-06-01,N,Sr Unsecured,FIXED,2,102.683
2016-06-28,BB,0.0,BB+,0.0,,0.0,Ba2,0.0,78.04795391002287,1.8885400313971743,6.36,7.6145261730069675,21.20717781402936,41.50139321422718,2016-05-23,2021-06-01,N,Sr Unsecured,FIXED,2,101.227
2016-06-29,BB,0.0,BB+,0.0,,0.0,Ba2,0.0,78.04795391002287,1.8885400313971743,6.36,7.6145261730069675,21.20717781402936,41.50139321422718,2016-05-23,2021-06-01,N,Sr Unsecured,FIXED,2,101.617
2016-06-30,BB,0.0,BB+,0.0,,0.0,Ba2,0.0,78.04795391002287,1.8885400313971743,6.36,7.6145261730069675,21.20717781402936,41.50139321422718,2016-05-23,2021-06-01,N,Sr Unsecured,FIXED,2,101.866
2016-07-01,BB,0.0,BB+,0.0,,0.0,Ba2,0.0,78.04795391002287,1.8885400313971743,6.36,7.6145261730069675,21.20717781402936,41.50139321422718,2016-05-23,2021-06-01,N,Sr Unsecured,FIXED,2,101.944
2016-07-05,BB,0.0,BB+,0.0,,0.0,Ba2,0.0,78.04795391002287,1.8885400313971743,6.36,7.6145261730069675,21.20717781402936,41.50139321422718,2016-05-23,2021-06-01,N,Sr Unsecured,FIXED,2,102.059
2016-07-06,BB,0.0,BB+,0.0,,0.0,Ba2,0.0,78.04795391002287,1.8885400313971743,6.36,7.6145261730069675,21.20717781402936,41.50139321422718,2016-05-23,2021-06-01,N,Sr Unsecured,FIXED,2,102.214
2016-07-07,BB,0.0,BB+,0.0,,0.0,Ba2,0.0,78.04795391002287,1.8885400313971743,6.36,7.6145261730069675,21.20717781402936,41.50139321422718,2016-05-23,2021-06-01,N,Sr Unsecured,FIXED,2,102.304
